open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2023-01-01 00:00:00,16541.77,16545.7,16508.39,16529.67,4364.8357,2023-01-01 00:59:59.999,72146293.5867229,149854,2179.94772,36032352.8703572,0
2023-01-01 01:00:00,16529.59,16556.8,16525.78,16551.47,3590.06669,2023-01-01 01:59:59.999,59376757.3446092,126556,1730.24901,28617416.0048643,0
2023-01-01 02:00:00,16551.47,16559.77,16538.14,16548.19,3318.84038,2023-01-01 02:59:59.999,54919453.3756213,115398,1611.12302,26660867.8677365,0
2023-01-01 03:00:00,16548.19,16548.19,16518.21,16533.04,4242.0805,2023-01-01 03:59:59.999,70122541.9374544,137724,2096.09287,34649044.4851304,0
2023-01-01 04:00:00,16533.04,16535.97,16511.92,16521.85,4285.00909,2023-01-01 04:59:59.999,70802644.4781446,129535,2188.40175,36159818.0240712,0
2023-01-01 05:00:00,16522.22,16534.98,16512.3,16530.71,3717.37178,2023-01-01 05:59:59.999,61412217.1273777,118541,1925.65583,31812891.5854562,0
2023-01-01 06:00:00,16530.71,16550.0,16528.81,16539.79,3344.90206,2023-01-01 06:59:59.999,55329560.6534511,106074,1625.16179,26882457.0576409,0
2023-01-01 07:00:00,16539.79,16544.57,16499.01,16526.19,5184.95822,2023-01-01 07:59:59.999,85663591.9296989,148545,2476.59015,40917573.3652945,0
2023-01-01 08:00:00,16525.7,16534.03,16508.45,16513.34,4271.92023,2023-01-01 08:59:59.999,70568383.4577827,135605,2092.4027,34565020.0940138,0
2023-01-01 09:00:00,16513.33,16542.49,16505.2,16537.88,4100.75049,2023-01-01 09:59:59.999,67754195.982209,134070,2103.34139,34752675.689757,0
2023-01-01 10:00:00,16538.32,16548.71,16533.42,16548.34,3803.76616,2023-01-01 10:59:59.999,62913519.976031,128045,1938.08864,32055964.449014,0
2023-01-01 11:00:00,16547.98,16557.0,16540.2,16556.66,3739.53013,2023-01-01 11:59:59.999,61883892.7802737,134038,1870.39915,30952930.3702025,0
2023-01-01 12:00:00,16556.66,16572.94,16548.58,16560.93,4150.48564,2023-01-01 12:59:59.999,68733338.0555451,146800,2064.92986,34196174.0066522,0
2023-01-01 13:00:00,16561.29,16567.26,16539.05,16548.04,4379.68203,2023-01-01 13:59:59.999,72483198.3094618,151206,2132.25783,35289079.896103,0
2023-01-01 14:00:00,16547.61,16558.56,16540.85,16542.94,3294.99093,2023-01-01 14:59:59.999,54535015.5423522,110412,1660.99212,27491283.0499973,0
2023-01-01 15:00:00,16542.94,16559.99,16533.68,16558.73,3220.93236,2023-01-01 15:59:59.999,53292963.4774878,112258,1657.51542,27425404.5887808,0
2023-01-01 16:00:00,16558.73,16584.66,16558.0,16565.14,4962.13235,2023-01-01 16:59:59.999,82217236.1606148,152217,2514.82348,41668653.8099173,0
2023-01-01 17:00:00,16565.13,16596.64,16562.51,16578.85,4714.40354,2023-01-01 17:59:59.999,78161014.3518955,151893,2395.66351,39718756.7926369,0
2023-01-01 18:00:00,16579.25,16603.89,16578.85,16591.88,4146.37245,2023-01-01 18:59:59.999,68800698.8914366,141406,2156.10882,35776785.9729547,0
2023-01-01 19:00:00,16591.35,16623.65,16591.34,16603.08,4709.74023,2023-01-01 19:59:59.999,78223013.1208198,148980,2370.80934,39376884.9459543,0
2023-01-01 20:00:00,16603.53,16628.0,16600.55,16604.51,4189.05318,2023-01-01 20:59:59.999,69590383.5377923,147849,2126.6117,35328801.3016105,0
